tconst	averageRating	numVotes
tt0285327	6.6	109
tt0285510	8.6	97
tt0286077	5.1	396
tt0286464	7.7	43
tt0286772	4.0	168
tt0286860	5.3	15
tt0287489	5.5	28
tt0287780	5.2	20
tt0288094	5.4	9
tt0288661	4.1	39
tt0289053	4.7	7
tt0289619	8.0	9
tt0290800	8.4	127
tt0291289	7.2	12
tt0291565	6.6	30
tt0292137	8.1	83
tt0292459	5.8	188
tt0292622	5.0	7
tt0295745	7.3	8
tt0297121	6.1	14
tt0297742	6.3	132
tt0298100	6.2	98
tt0298285	7.3	20
tt0298422	8.2	32
tt0298506	7.4	312
tt0298852	3.4	38
tt0299219	6.1	28
tt0300328	4.1	43
tt0300451	7.3	74
tt0300602	6.4	213
tt0300642	6.7	41
tt0301513	6.2	7
tt0301546	8.2	41
tt0301560	5.1	72
tt0301941	4.9	113
tt0302905	6.2	93
tt0303005	7.3	24
tt0303150	7.3	71
tt0303610	7.6	12
tt0304453	4.7	13
tt0304872	4.4	24
tt0305033	8.5	453
tt0305034	6.9	96
tt0305179	7.0	32
tt0305357	4.9	133335
tt0305573	7.8	15
tt0306004	5.0	9
tt0306535	5.3	30
tt0306649	6.6	79
tt0307810	5.4	10
tt0307895	3.9	97
tt0308727	7.3	18
tt0308755	5.2	8
tt0308800	7.8	127
tt0311844	8.4	42
tt0312473	5.8	16
tt0312578	7.9	48
tt0312922	6.6	39
tt0313098	4.5	13
tt0313695	7.2	7
tt0313725	7.7	17
tt0313936	5.7	10
tt0314073	6.4	59
tt0314090	6.3	37
tt0314129	8.5	26
tt0314986	6.9	193
tt0315105	4.6	196
tt0315117	6.9	11
tt0315779	6.5	20
tt0315879	7.5	47
tt0316624	7.4	223
tt0316814	4.0	7
tt0317080	6.1	179
tt0317465	6.5	11
tt0317925	6.3	7
tt0318346	6.6	341
tt0318820	5.0	10
tt0318949	5.4	43
tt0319334	6.7	116
tt0319400	4.2	13
tt0319986	8.1	80
tt0319987	7.0	1123
tt0320546	5.2	12
tt0321275	6.7	7
tt0321372	7.5	13
tt0321441	6.6	17
tt0322169	6.0	38
tt0322591	8.2	18
tt0323195	8.1	14
tt0323895	6.5	37
tt0324013	7.8	7257
tt0324425	4.9	24
tt0324518	4.0	460
tt0325377	7.3	20
tt0326138	6.4	10
tt0326328	6.3	29
tt0326576	6.4	3856
tt0327116	5.6	446
tt0327151	6.3	44
tt0327231	6.3	387
tt0327612	6.2	9
tt0329443	6.5	26
tt0329622	7.1	17
tt0329771	6.9	12
tt0329887	8.3	19
tt0330437	8.1	9
tt0330466	5.8	10
tt0331436	8.4	255
tt0331711	6.0	161
tt0331734	8.7	23
tt0333526	6.4	383
tt0333881	5.4	6
tt0335371	6.2	6
tt0336686	5.8	36
tt0336776	3.4	16
tt0337977	5.4	119
tt0339090	9.2	18
tt0340258	6.6	1247
tt0341084	5.9	29
tt0341441	7.5	8
tt0342802	6.8	9
tt0342913	6.4	1036
tt0342979	6.3	41
tt0343248	7.0	29
tt0343984	6.2	17
tt0344200	6.6	41
tt0344520	8.1	13
tt0345116	7.0	15
tt0346932	6.5	2261
tt0347802	7.5	19
tt0347827	7.2	16
tt0349423	5.6	10
tt0349453	7.5	154
tt0350457	6.8	175
tt0350871	5.1	36
tt0350980	8.1	26
tt0351138	8.2	10
tt0351441	7.2	69
tt0351811	6.8	11
tt0352520	6.9	15306
tt0352579	8.6	7
tt0353106	6.0	43
tt0353115	5.8	3382
tt0353453	5.5	57
tt0353590	5.5	115
tt0353849	7.7	497
tt0354194	9.0	13
tt0355290	5.0	19
tt0355454	8.1	31
tt0355988	8.4	18
tt0356075	7.4	6
tt0356797	5.3	259
tt0357267	5.7	29
tt0358539	4.6	224
tt0358607	5.4	22
tt0359105	7.2	38
tt0359373	5.3	81
tt0359389	6.3	8
tt0359475	8.3	47
tt0360758	7.8	7
tt0361390	7.9	115
tt0362087	6.5	6
tt0362169	7.1	18
tt0363025	2.8	11
tt0363275	5.7	14
tt0363345	7.1	20
tt0363927	7.7	19
tt0363945	8.7	40
tt0363970	6.1	163
tt0365102	7.3	56
tt0365847	6.1	16367
tt0365893	8.2	30
tt0365980	5.9	2262
tt0366035	6.2	7
tt0367153	5.3	8818
tt0368339	8.7	12
tt0368833	6.8	58
tt0368847	6.5	55
tt0369044	7.0	31
tt0369084	6.9	1160
tt0369319	5.7	8
tt0369468	5.6	11
tt0370056	6.2	11
tt0370249	7.8	105
tt0370523	5.2	6
tt0370608	5.3	20
tt0370942	8.8	25
tt0371055	7.0	309
tt0372063	7.2	362
tt0372091	7.4	478
tt0372229	8.4	21
tt0373483	6.3	23
tt0374283	5.1	9
tt0374286	4.2	686
tt0374716	8.2	59
tt0375350	8.3	16
tt0375536	3.9	12
tt0376381	7.3	27
tt0376520	8.2	104
tt0376912	5.6	93
tt0377288	6.2	1044
tt0377500	5.4	14
tt0377582	7.5	20
tt0378909	6.8	21
tt0379402	5.8	40
tt0379428	6.8	13
tt0380046	6.7	17
tt0381543	4.5	45
tt0381617	5.1	152
tt0382206	6.1	12
tt0382717	5.3	333
tt0383153	7.9	1218
tt0383162	7.8	15
tt0383353	5.2	6104
tt0383445	7.9	23
tt0383574	7.4	770984
tt0383773	7.0	16
tt0383806	8.6	21
tt0384064	6.6	13
tt0384773	6.4	22
tt0385176	7.0	22
tt0385831	8.4	66
tt0386273	7.3	43
tt0386653	5.3	47
tt0386941	8.1	22
tt0387199	8.4	177332
tt0387404	5.6	13
tt0387653	8.9	35
tt0387697	7.4	16
tt0389037	9.8	190
tt0389076	6.8	18
tt0389646	7.1	23
tt0389708	6.0	67
tt0390776	6.6	202
tt0391490	6.6	12
tt0391851	8.0	100
tt0392378	3.1	156
tt0392911	7.6	22
tt0392998	5.8	44
tt0393186	5.2	19
tt0393813	6.8	197
tt0394278	5.7	111
tt0394437	7.4	48
tt0394610	7.6	87
tt0394681	7.3	42
tt0394694	7.2	34
tt0394704	7.7	39
tt0394730	7.6	40
tt0394733	8.0	63
tt0394754	6.2	8
tt0394768	6.8	130
tt0394907	8.9	2694
tt0396420	6.2	101
tt0396995	6.6	6
tt0397252	7.6	103
tt0397758	7.1	32
tt0398152	6.8	5
tt0399859	7.8	12
tt0400100	2.4	97
tt0400796	8.7	490
tt0401559	5.6	285
tt0401740	6.3	568
tt0401760	5.3	81
tt0401937	8.0	62
tt0401964	7.5	22
tt0402510	6.8	23
tt0402610	7.4	122
tt0402621	7.1	80
tt0404808	6.4	97
tt0405481	8.2	68
tt0405853	4.1	13
tt0406434	4.2	144
tt0406774	3.6	359
tt0406789	5.8	9
tt0407095	6.0	538
tt0407383	6.8	61
tt0408348	7.9	8
tt0408813	8.3	21
tt0409532	5.3	25
tt0409918	5.8	12
tt0413108	8.7	388
tt0415824	6.6	7
tt0416043	7.9	703
tt0416149	6.2	11
tt0416335	5.8	12
tt0416823	4.0	5
tt0416898	7.4	207
tt0417382	3.8	8
tt0418362	6.7	16986
tt0418457	5.7	18
tt0419925	7.3	223
tt0419953	8.5	19
tt0420456	6.2	31
tt0420598	5.9	9
tt0420650	5.0	13
tt0421540	4.0	9
tt0421773	8.2	13
tt0423855	6.4	106
tt0424555	5.8	21
tt0425048	6.8	49
tt0426489	7.5	123
tt0426537	8.3	32
tt0426810	6.9	26
tt0427468	6.8	32
tt0427470	7.0	60646
