tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0261977	short	See You in Toronto	See You in Toronto	0	2000	\N	\N	Short
tt0264804	tvMovie	Lon Chaney: A Thousand Faces	Lon Chaney: A Thousand Faces	0	2000	\N	85	Biography,Documentary
tt0265891	video	Trapped 6	Trapped 6	1	1996	\N	\N	\N
tt0265976	tvMovie	Varuhuset	Varuhuset	0	1959	\N	\N	\N
tt0266390	movie	Casa Scelsi oder Die Innenansichten des Klangs	Casa Scelsi oder Die Innenansichten des Klangs	0	1994	\N	60	Biography,Documentary
tt0269034	movie	Burai heiya	Burai heiya	0	1995	\N	99	Drama
tt0269147	tvMovie	Deutschland 1945 - Ende und Anfang	Deutschland 1945 - Ende und Anfang	0	1995	\N	\N	Documentary
tt0269726	movie	Prem Diwani	Prem Diwani	0	1982	\N	\N	\N
tt0271054	tvSeries	María Emilia: Querida	María Emilia: Querida	0	1999	\N	44	Drama,Romance
tt0272832	tvMovie	Das schwangere Mädchen	Das schwangere Mädchen	0	2001	\N	93	Drama
tt0273058	tvMovie	Les absences du président	Les absences du président	0	1994	\N	\N	Drama
tt0274131	movie	Swedish Erotica 55	Swedish Erotica 55	1	1984	\N	\N	Adult
tt0274684	movie	Nandakumar	Nandakumar	0	1938	\N	156	\N
tt0275200	tvMovie	Architektuur, nu	Architektuur, nu	0	1969	\N	45	Documentary
tt0277255	movie	The Profit	The Profit	0	2001	\N	128	Drama
tt0278334	movie	Le Babylone des ténèbres	Le Babylone des ténèbres	0	1922	\N	\N	Documentary
tt0278864	tvSeries	Hyper Police	Hyper Police	0	1997	1997	\N	Action,Animation,Comedy
tt0279261	movie	Namus	Namus	0	1973	\N	86	Drama
tt0279357	short	Rabbit Punch	Rabbit Punch	0	1999	\N	22	Short
tt0280674	movie	The First $20 Million Is Always the Hardest	The First $20 Million Is Always the Hardest	0	2002	\N	105	Comedy
tt0281584	movie	Amba Ambika Ambalika	Amba Ambika Ambalika	0	1976	\N	\N	\N
tt0282327	tvSeries	The Bubbleman of My Life	El sodero de mi vida	0	2001	2002	60	Comedy,Romance
tt0282456	short	L'emploi du temps	L'emploi du temps	0	1967	\N	17	Short
tt0284389	tvSpecial	Perlman at the Penthouse	Perlman at the Penthouse	0	2000	\N	90	Music
tt0286792	short	Loafers and Lovers	Loafers and Lovers	0	1920	\N	\N	Comedy,Short
tt0288772	movie	Prosklitirio tis manas	Prosklitirio tis manas	0	1979	\N	92	Drama
tt0289554	movie	Call 911	Tilefonisate sto 100	0	1964	\N	88	Crime,Drama
