nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0233385	Laurel Doran	\N	\N	sound_department	tt0097441,tt0100301,tt0100672,tt0283465
nm0233808	Edmée Dormeuil	1896	1983	actress	tt0348283,tt0247589
nm0234138	Blake Dorsey	\N	\N	actor	tt0219893,tt6032936,tt0298422,tt0382008
nm0236402	Joseph Doyle	\N	\N	camera_department	tt0119395,tt0091419,tt0088206
nm0237488	Thijs Drenth	\N	\N	art_department	tt0185284
nm0238871	George Du Count	1881	1960	actor	tt0027915,tt0028501,tt0027660,tt0864866
nm0241095	Sheila Duignan	\N	\N	visual_effects,miscellaneous	tt0107290,tt0093870,tt0091225,tt0096446
nm0241858	Nick Dunbar	\N	\N	editorial_department	tt0111173
nm0242261	'By' Dunham	1910	2001	music_department,producer,composer	tt0057298,tt0057707,tt0059298,tt0058626
nm0242901	Richard Dunne	\N	1995	actor,editor	tt0424083,tt0071385,tt0057731
nm0244624	Andrey Dushechkin	1960	\N	actor	tt24319092,tt27665511,tt0083794,tt2582752
nm0244998	Cyril Duval	\N	\N	assistant_director,location_management,actor	tt0283832,tt0354356,tt0205735,tt0211387
nm0248066	Christine Eberle	\N	\N	miscellaneous	tt0112893
nm0250592	Evgenij Efimov	\N	\N	cinematographer	tt0030992,tt29372157,tt0240238,tt0037889
nm0252793	Ahmad El-Attar	\N	\N	camera_department	tt0104797
nm0253071	Kim Elder	\N	\N	actress	tt0078811
nm0254047	Gisela Ellerbrok	\N	\N	costume_department,costume_designer,location_management	tt0097417,tt0098370,tt0086564,tt0095799
nm0255807	Sylvain Eluau	\N	\N	actor	tt0191636
nm0256612	Bob Emory	\N	\N	actor	tt0305657,tt0099853
nm0258659	Lewis A. Erber Jr.	\N	\N	actor,miscellaneous	tt0095119
nm0259252	Svend-Erik Eriksen	\N	\N	producer,animation_department,camera_department	tt1880919,tt0225889,tt0225736,tt0225737
nm0260002	Jacques Erwin	1908	1957	actor,miscellaneous	tt0030667,tt0022765,tt0030313,tt0193239
nm0260116	Esteban V. Escalante	\N	\N	actor	tt0231722,tt0139932
nm0260828	Rosalinda España	\N	\N	actress	tt0378455,tt0218412,tt0285949,tt0095790
nm0261219	Montse Espunyes	\N	\N	actress	tt0164491
nm0262028	Gabe Etele	\N	\N	production_manager	tt0122272
nm0263475	Justin Everbright	\N	\N	actor	tt0109933
nm0265878	Fiorella Falchi	\N	\N	actress	\N
nm0266302	Jim Fall	\N	\N	director,writer,producer	tt0162710,tt0306841,tt1807892,tt0823158
nm0266961	Stanley Fanucchi	\N	\N	production_manager,miscellaneous	tt0160520,tt0081354
nm0267413	Fariborz Azhakh	\N	\N	actor,stunts	tt2823574,tt2497808,tt3152288,tt3195606
nm0268743	Julia Fassett	1881	1958	actress	tt0031761,tt1139844
nm0269566	Florent Fay	\N	\N	production_manager,location_management,miscellaneous	tt0314012,tt0205735,tt0228992,tt0119035
nm0270453	Francis Fehr	1935	\N	director,writer	tt0148585,tt26438446,tt0484215,tt0260184
nm0270957	Neil Felder	1963	\N	editor,editorial_department	tt1183865,tt2647544,tt0279600,tt0230350
nm0272056	L. Douglas Fenton	\N	\N	miscellaneous	tt0120338,tt0120863
nm0272543	Maynard Ferguson	1928	2006	music_department,actor,soundtrack	tt0047885,tt0069120,tt0050523,tt0332712
nm0273069	Luis Fernando Torres	1990	\N	actor,soundtrack	tt0233092,tt0231045,tt1316004,tt0278243
nm0274032	Alex Ferrari	1968	\N	director,editor,cinematographer	tt0166606,tt0299770,tt0166475,tt0166785
nm0274366	Leandro Ferreira	\N	\N	writer,director,editor	tt0105740,tt0087084,tt0304684,tt0900924
nm0274870	Brett Ferris	\N	\N	actor,assistant_director,camera_department	tt0119272,tt0292414,tt0138468,tt0115377
nm0275272	John Festa	\N	\N	actor	tt0104797,tt5945958
nm0276119	Athene Fielding	1944	\N	actress	tt0086295,tt0063953,tt0181240,tt0077636
nm0276248	Greg Fields	1955	2002	writer,producer,miscellaneous	tt0098830,tt0090685,tt0112115,tt0055708
nm0278466	Jacques Fiore	\N	\N	sound_department,editor	tt0133103,tt0093117,tt7809114,tt0093116
nm0279038	Margarita Fischer	1886	1975	actress,writer	tt0010475,tt0314378,tt0221390,tt0334285
nm0279290	Marina Fish	\N	\N	art_department,costume_department	tt9463434,tt14362262,tt0113729,tt20420806
nm0286091	María Teresa Forero	\N	\N	writer	tt0354281,tt0269541,tt0219447,tt0219436
nm0286472	Shawn Fornari	1971	\N	miscellaneous,assistant_director,producer	tt0128278,tt2339607,tt2347325,tt3708826
nm0287268	Lorena Diane Fortier	\N	\N	art_department	tt0120596
nm0287413	John M. Fortune III	\N	\N	producer	tt0202642
nm0288524	Muriel Fournier	\N	\N	casting_department	tt0081455
nm0289646	Francisco Fraile	\N	\N	cinematographer,camera_department	tt0120946,tt0068183,tt0070126,tt0071099
nm0289658	Diane Fraind	\N	\N	actress	tt0107750
nm0291434	Gretchen Franklin	1911	2005	actress,soundtrack,archive_footage	tt0072281,tt0159166,tt0088512,tt1343000
nm0291549	Sidney Franklin	1870	1931	actor	tt0012752,tt0177366,tt0010705,tt0016183
nm0291714	Fely Franquelli	1916	2002	actress,soundtrack	tt0037522,tt0035770
nm0292077	Bill Fraser	1908	1987	actor,soundtrack,archive_footage	tt0088604,tt0082351,tt0041455,tt0070790
nm0292930	Diana Fredholm	1954	\N	actress	tt0081579
nm0296485	David Frost	\N	\N	producer,director,production_manager	tt0236493,tt0110991,tt0180897,tt0144296
nm0298098	Simon Fulford	\N	\N	camera_department,visual_effects	tt0088846,tt0081633,tt0096895,tt0096764
nm0298174	Arthur Louis Fuller	\N	\N	actor,producer,director	tt2663744,tt7449862,tt11771876,tt0118859
nm0298344	Sarita Fuller	\N	\N	writer	tt0020488
nm0299104	Tamara Fursova	\N	\N	assistant_director,actress	tt0253422,tt0094348,tt0309762,tt0096126
nm0299974	Sam Gabbamonte	\N	\N	producer	tt0264373
nm0300809	Erford Gage	1912	1945	actor	tt0036341,tt0034856,tt0035917,tt0036317
nm0300828	Marshall B. Gage	\N	\N	actor	tt0089572,tt0472050
nm0301935	David Galea	\N	\N	sound_department,talent_agent	tt0112760
nm0303067	Mario Gallo	\N	\N	director	tt0257546
nm0303327	Ervin Galsay	1923	1976	actor	tt0059375
nm0304044	Joan Gamst	1941	\N	actress	tt0057807,tt0122672,tt0125749,tt0063732
nm0304656	Bob Ganz	\N	\N	camera_department	tt0090609
nm0305825	José Luis García-Pérez	1972	\N	actor,director,writer	tt21374322,tt11859542,tt16426006,tt9204128
nm0306266	Julio García	\N	\N	actor	tt0107799,tt1321725
nm0307744	Patrick Garner	1958	\N	actor	tt0119360,tt0098844,tt0092401,tt0094512
nm0308034	Poum Garreau	\N	\N	make_up_department	tt3805856,tt0243192,tt0197826,tt0270928
nm0308262	Victor Garrick	\N	\N	sound_department	tt0111173,tt0111205,tt0108633,tt1006883
nm0312070	Alec Geiss	1896	1974	director,writer	tt0151787,tt0152901,tt0147997,tt0149342
nm0312892	Joseph Genna	\N	\N	art_department,miscellaneous	tt1950186,tt0113501,tt0119807,tt0102059
nm0313032	Toto Gentica	\N	\N	composer,soundtrack	tt0168817,tt0086056,tt0311349,tt0318683
nm0316334	Stefano Giannuzzi	\N	\N	director	tt0203311
nm0317545	Phil Gifford	\N	\N	actor,writer	tt0182572,tt0131491,tt0220901,tt1992089
nm0319477	Betsy Gilmer	\N	\N	actress	tt0099153,tt0277409
